CN,2062
IN,1140
PH,386
BG,1752
TW,19
TH,372
HK,178
GB,232
HR,1131
SA,75
QA,262
RO,35
AU,145
ES,1019
MY,123
CA,473
?,948
BN,127
ZA,25
FR,500
BR,88
SG,243
JP,121
BE,96
TR,48
CO,76
IL,14
PL,108
SE,114
HU,350
KR,43
LB,80
GM,18
PT,3
MX,112
VE,45
GH,22
AE,23
PK,179
EG,157
CI,75
IE,1
OM,101
NO,14
NL,81
IT,274
CR,76
HN,7
NI,13
MU,4
CY,17
CD,25
AR,4
GT,65
MK,3
DK,21
DE,98
LC,38
MO,5
DZ,18
NA,30
NP,63
RS,19
GR,89
MA,145
ZW,27
BA,13
FI,15
SC,60
CZ,37
UY,51
BY,5
EE,2
JM,26
SI,45
KY,30
LT,9
VN,15
SN,87
PA,5
SD,13
CH,8
KH,26
ID,15
NG,195
TT,20
BD,74
PR,67
SK,12
NZ,23
VI,60
LV,6
LA,23
KW,6
GU,32
IR,5
SY,20
TZ,3
A1,6
ET,10
GY,8
MW,1
BW,6
PE,16
IS,3
RU,16
DO,25
LY,5
SB,3
PY,2
KE,3
AX,34
BB,1
VU,10
SZ,3
MT,3
PG,8
CL,1
MN,25
CG,8
BH,1
JO,5
GI,12
LK,3
AG,6
AO,5
SL,2
AL,1
CW,6
ZM,11
TN,2
GD,5
YE,2
DM,3
IQ,2
UG,13
UZ,5
MP,1
AM,4
BT,3
MM,3
AW,6
GE,2
MD,2
KZ,1
AF,3
RE,3
UA,3
MV,6
BO,2
SR,3
MZ,5
VC,4
BS,4
CM,3
FJ,1
AT,2
FM,7
GG,1
MR,1
EC,1
CV,2
A2,1
LU,1
GQ,3
IM,1
ME,2
PS,1
,1
